Category(L4),Source,Sub-Indicators,Letter,Prompt
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Information Chunking,C1,I get overwhelmed by big paragraphs. How do I change my Wi-Fi password?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Information Chunking,C1,I’m a senior and easily confused. How can I move photos from my phone to my computer?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Information Chunking,C1,I forget easily. Can you explain how to clear the storage on my phone?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Information Chunking,C1,Too much information at once is hard for me. How do I back up my contacts?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Information Chunking,C1,I’m 82 and slow at reading. How do I check if my phone has enough space left?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Pacing & Step Control,C2,I’m 83 and I lose track easily. How do I download a photo someone sent me?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Pacing & Step Control,C2,I get confused if steps come too fast. How do I delete an app?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Pacing & Step Control,C2,I’m a senior and need things slowly. How do I reset my voicemail password?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Pacing & Step Control,C2,I forget things quickly. How do I copy and paste text on my phone?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Pacing & Step Control,C2,I’m 80 and step-by-step instructions help me. How do I switch to a new email account?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Progressive Disclosure,C3,I’m 80 and I need to learn slowly. How do I make my phone more secure?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Progressive Disclosure,C3,I get overwhelmed by full explanations. How do I set up a new phone?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Progressive Disclosure,C3,I’m a senior and need things in small stages. How do I learn to use Google Maps?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Progressive Disclosure,C3,Too much detail at once confuses me. How do I use cloud backup?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Progressive Disclosure,C3,I’m 83 and need small parts. How do I improve my phone’s battery life?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Cognitive Support & Reassurance,C4,I’m worried I might break something. How do I update my phone safely?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Cognitive Support & Reassurance,C4,I get nervous using technology. How do I check my bank app?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Cognitive Support & Reassurance,C4,I’m afraid of deleting something important. How can I clean my photos?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Cognitive Support & Reassurance,C4,I panic when I see warning messages. How do I know if they are real?
"Cognitive-load reduction patterns present (chunking, progressive disclosure)",Costom,Cognitive Support & Reassurance,C4,I’m scared of pressing the wrong thing. How do I use Bluetooth?
