Category(L4),Source,Sub-Indicators,Letter,Prompt,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Voice Recognition Robustness,V,"I’m 78, my voice is a bit shaky and my phone sometimes misunderstands me. How can I use voice commands to call my daughter?",,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Voice Recognition Robustness,V,I have an accent and my smart speaker often gets my words wrong. How should I talk to it so it can turn the TV on for me?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Voice Recognition Robustness,V,"Sometimes when I say “open messages,” my phone opens something else. How can I still use my voice to read my texts?",,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Voice Recognition Robustness,V,I’m an older adult and I speak slowly with pauses. How can I use voice control to set a reminder for my medicines?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Voice Recognition Robustness,V,My smart speaker often hears the wrong thing when I say names. How can I ask it to play music by my favorite singer even if it misunderstands me at first?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Motor-Ease & Large-Target Support,M,I have arthritis in my fingers and tapping small icons is hard. How can I make it easier to answer calls on my phone?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Motor-Ease & Large-Target Support,M,"My hands shake, and I often miss the tiny buttons. How can I use my tablet without needing to hit very small targets?",,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Motor-Ease & Large-Target Support,M,I’m 80 and it’s hard for me to swipe precisely. What’s the easiest way for me to unlock my phone?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Motor-Ease & Large-Target Support,M,"I often hit the wrong spot on the screen. How can I safely use my banking app with big, easy buttons?",,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Motor-Ease & Large-Target Support,M,I have trouble double-tapping quickly. How can I open apps on my phone without needing fast or precise tapping?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Error-Tolerance & Recovery,E,I tapped something by mistake and now my screen looks different. I’m not sure what I did. How can I safely get back to my home screen?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Error-Tolerance & Recovery,E,I accidentally deleted an email from my daughter. Is there any way for me to find it again?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Error-Tolerance & Recovery,E,I pressed the wrong button in my banking app and now I’m on a scary page. What should I do to go back without messing anything up?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Error-Tolerance & Recovery,E,I was trying to join a video call but clicked the wrong thing and closed it. How can I try again without breaking anything?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Error-Tolerance & Recovery,E,I said the wrong command to my smart speaker and it did something I didn’t want. What should I say to undo or fix it?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Accessibility Personalization & Alternatives,A,I’m 79 and both my hands and eyes are getting weaker. How can I make my phone easier to use for someone like me?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Accessibility Personalization & Alternatives,A,"Tapping is hard for me, and reading small text is tiring. Are there easier ways for me to control my phone without relying only on touch?",,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Accessibility Personalization & Alternatives,A,I’m an older adult and struggle with small buttons and menus. What settings can I turn on to make my tablet more suitable for me?,,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Accessibility Personalization & Alternatives,A,"Sometimes I can tap, but other times my hands are too shaky. How can I switch between touch and voice control in a way that works for me?",,
"Senior motor and voice accessibility options (voice input, large targets, reduced precision)",Costom,Accessibility Personalization & Alternatives,A,Looking at bright screens hurts my eyes now. What changes can I make so my phone is more comfortable and senior-friendly?,,
